year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,SciFi,Thriller,War,Western,SUM
1 986.00,7,5,0,6,2,4,0,4,3,3,3,0,3,3,3,3,3,52
1 987.00,7,6,0,8,5,7,1,2,2,6,2,0,2,2,2,2,2,56
1 988.00,7,5,1,7,3,7,3,2,3,8,3,0,3,3,3,3,3,64
1 989.00,8,7,0,6,2,7,1,1,1,3,1,1,1,1,1,1,1,43
1 990.00,7,6,0,10,5,10,4,4,4,6,4,2,4,4,4,4,4,82
1 991.00,10,8,0,7,5,10,3,3,2,2,2,0,2,2,2,2,2,62
1 992.00,8,5,1,10,6,9,3,4,4,1,4,1,4,4,4,4,4,76
1 993.00,12,11,1,8,8,18,7,8,7,1,7,3,7,7,7,7,7,126
1 994.00,15,7,1,16,9,12,4,7,6,2,6,4,6,6,6,6,6,119
1 995.00,24,9,2,15,19,25,3,5,11,4,11,4,11,11,11,11,11,187
1 996.00,18,11,2,17,11,33,4,7,13,5,13,6,13,13,13,13,13,205
1 997.00,25,18,2,18,18,34,6,6,11,7,11,15,11,11,11,11,11,226
1 998.00,18,18,5,31,13,38,8,7,17,7,17,9,17,17,17,17,17,273
1 999.00,18,11,3,41,17,43,8,8,19,9,19,14,19,19,19,19,19,305
2 000.00,26,18,7,38,17,39,12,7,16,8,16,6,16,16,16,16,16,290
2 001.00,35,19,9,40,22,40,13,10,30,4,30,14,30,30,30,30,30,416
2 002.00,36,28,5,38,22,59,12,9,23,9,23,11,23,23,23,23,23,390
2 003.00,28,18,5,34,17,31,8,10,11,7,11,7,11,11,11,11,11,242
2 004.00,34,25,9,46,15,40,12,14,25,9,25,9,25,25,25,25,25,388
2 005.00,35,28,7,39,21,55,17,14,19,17,19,8,19,19,19,19,19,374
2 006.00,27,28,11,42,17,61,19,16,26,9,26,9,26,26,26,26,26,421
2 007.00,22,15,7,27,15,40,14,14,14,16,14,10,14,14,14,14,14,278
2 008.00,31,24,7,46,20,54,16,11,26,5,26,8,26,26,26,26,26,404
2 009.00,30,28,10,39,17,47,16,13,22,11,22,17,22,22,22,22,22,382
2 010.00,39,29,9,44,16,57,15,16,26,16,26,13,26,26,26,26,26,436
2 011.00,40,21,10,49,17,56,17,14,20,14,20,12,20,20,20,20,20,390
2 012.00,33,22,8,40,21,51,10,13,21,10,21,4,21,21,21,21,21,359
2 013.00,40,25,8,33,19,48,10,14,10,11,10,3,10,10,10,10,10,281
2 014.00,37,27,8,35,15,49,15,14,13,8,13,10,13,13,13,13,13,309
2 015.00,24,24,8,32,15,46,12,7,13,10,13,10,13,13,13,13,13,279
2 016.00,21,18,3,18,4,15,6,10,4,7,4,3,4,4,4,4,4,133
